Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
13,134.92,90.888,18416,1.551
13,152.08,95.501,17717,1.0508
13,130.8,149.12,18104,0.78661
13,153.63,177.86,18421,1.0547
13,157.11,176.58,10997,1.0374
13,185.1,55.072,8344.2,0.94373
13,132.65,66.767,12417,0.70665
13,127.88,89.497,17246,0.88635
13,201.72,89.197,11400,1.1103
13,166.64,95.674,20884,1.0972
13,139.11,108.51,13662,0.78421
13,150.59,111.84,8310.9,0.65941
13,107.65,119.36,21312,0.953
13,142.6,122.03,16304,0.83507
13,145.84,128.03,8264.4,0.37957
13,148.17,146.47,14787,0.94025
13,135.07,152.14,21026,0.63784
13,84.939,154.85,9116.8,1.0191
13,173.16,156.77,10179,0.82596
13,85.303,47.264,8573.9,2.111
13,174.78,93.312,20704,1.9314
13,126.56,107.26,9721,1.3798
13,38.506,113.45,9112.1,2.5796
13,166.7,114.92,21123,2.7862
13,103.8,149.92,16015,2.081
13,76.892,154.98,9501.8,1.5241
13,117.87,182.91,7767.9,1.0289
13,128.02,148.51,12115,1.006
13,96.173,131.61,6364.2,0.94937
13,185.11,48.478,9333.9,0.67505
13,156.45,105.37,9154.8,1.0356
13,92.045,114.19,7488.1,1.2147
13,133.52,125.58,11762,0.87233
13,152.48,130.21,8433.9,0.5786
13,66.331,144.8,7777.5,0.49864
13,187.11,153.2,8682.5,1.0292
13,141.78,64.576,7251.9,1.2852
14,151.94,95.563,13053,0.86309
14,107.41,97.858,10591,1.0487
14,185.2,97.832,7867.6,1.0684
14,156.44,105.37,19248,0.96776
14,158.9,120.95,16943,0.91673
14,85.151,155.23,8568.2,1.124
14,185.11,54.88,13751,0.91778
14,132.43,66.925,13547,0.96092
14,145.74,78.032,44168,1.0338
14,201.78,89.445,15548,0.95756
14,166.68,95.609,14557,0.94623
14,124.82,101.41,15249,0.72006
14,142.74,131.68,14930,0.87094
14,131.44,140.54,10200,1.2558
14,147.93,146.46,11742,0.9109
14,130.52,149.1,28427,0.84475
14,153.63,151.08,9183.7,0.55323
14,135.45,151.87,21302,0.86649
14,173.26,157.02,7845.5,0.95178
14,157.06,176.36,16957,0.99072
14,153.39,177.87,20831,1.0486
14,145.5,128.02,11969,1.2497
14,67.014,81.552,6742.2,1.789
14,127.82,89.415,16179,0.71775
14,95.536,146.64,10772,1.3693
14,76.404,154.44,9325.5,1.5626
14,92.637,114.12,10496,1.7406
14,128.01,148.78,13503,0.82451
14,185.06,48.043,6135.6,2.1275
14,182.92,82.692,7801.8,0.81233
14,175.04,94.044,6480.6,0.93899
14,165.48,115.2,9650.6,0.48157
14,182.07,137.43,7395.4,0.7227
14,120.42,138.32,7353.9,0.61422
14,172.31,149.42,12060,0.66674
14,123.78,177.17,7679.5,1.0951
14,146.45,90.907,6993.7,2.2713
14,126.9,106.83,7965.4,1.4194
14,141.23,64.096,10750,2.0697
14,38.916,112.95,12556,2.4518
14,143.24,131.04,9801.1,0.5694
14,104.17,150.51,9470,2.4059
14,142.31,58.077,13085,1.5826
15,95.453,146.23,16094,1.0456
15,142.91,58.681,18514,1.4253
15,106.76,117.43,10634,0.85595
15,142.81,131.7,13012,1.0408
15,147.97,146.64,10698,1.111
15,130.64,148.92,24785,1.0771
15,76.521,154.91,11112,1.0743
15,118.24,139.39,10453,2.0303
15,185.09,48.479,9118.1,0.84699
15,185.03,54.901,11167,1.0455
15,132.42,67.254,10859,0.92258
15,201.65,89.322,14165,0.96535
15,146.01,90.834,10022,1.0504
15,166.89,96.311,8580.2,1.1476
15,150.86,111.83,15976,0.89775
15,133.37,125.52,13804,0.96676
15,127.65,128.68,19537,0.80726
15,115.63,140.47,11247,0.75764
15,135.17,152.06,21762,0.84576
15,85.1,155.07,14393,1.1485
15,157.38,176.44,14769,0.691
15,83.914,200.07,12249,0.87532
15,145.77,127.74,8778.5,1.005
15,144.5,78.207,7148.8,1.2018
15,67.446,81.649,8306.4,1.6831
15,185.19,98.906,8042.1,0.92644
15,158.49,121.2,10142,1.6142
15,151.08,129.19,4933.7,0.91396
15,141.23,64.464,7526.1,1.6035
15,133.92,174.2,6895,0.96789
15,169.5,113.6,24638,0.31931
15,92.802,114.09,8356.6,1.5589
15,131.02,140.08,10791,0.66037
15,87.004,118.93,7398.2,0.95164
15,127.68,148.68,9274.9,0.30916
15,110.55,82.897,6814.6,1.6062
15,136.38,90.117,14090,2.9295
15,174.66,93.14,8885.3,1.9103
16,175.56,93.12,12570,1.5484
16,94.389,99.007,6071.3,1.1624
16,126.61,107.1,11981,0.82255
16,139.23,108.73,16364,1.0711
16,130.74,115.61,12720,1.603
16,95.706,145.85,11112,0.97199
16,76.538,154.86,8566.4,1.1615
16,185.1,55.168,11735,0.88519
16,132.7,67.273,13921,1.0973
16,110.87,82.819,10862,0.6336
16,136.27,83.465,9190.8,0.97267
16,201.92,89.139,10701,0.89863
16,196.11,89.568,7323.2,0.83272
16,107.47,97.786,14315,0.90506
16,150.78,111.96,16359,0.82136
16,133.28,125.59,12467,1.0855
16,145.69,127.82,10496,1.07
16,130.77,149.09,25940,0.86353
16,135.11,151.98,21909,0.93617
16,84.74,155.42,16305,1.0578
16,173.21,156.59,9654.3,0.97852
16,157.59,176.44,8993.7,0.92137
16,84.038,200.4,14731,0.87932
16,129.53,145.47,19327,1.6106
16,83.873,46.884,6965.5,1.7058
16,67.551,81.762,8518.1,1.3752
16,182.99,82.121,8181,1.2122
16,166.51,95.85,8613.1,0.76401
16,142.11,155.61,16592,0.58232
16,23.61,36.228,5057.7,1.2765
16,143.25,155.59,7834.1,0.74251
16,129.04,148.72,22868,2.1974
16,147.18,72.942,6364.4,1.1655
16,98.499,106.5,7465.7,2.4707
16,165.5,114.81,11133,0.91947
16,117.17,127.36,10185,0.91944
16,134.23,173.19,8205.2,0.49088
16,184.8,48.038,6348.3,1.6805
16,167.34,111.57,9564.6,1.2127
16,143.03,131.48,7615.2,0.82955
16,161.95,171.16,8295.5,1.8579
16,136.35,90.782,17150,2.7861
16,199.81,97.546,8228.8,2.2038
16,166.89,113.71,14220,2.352
16,225.49,158.23,7425.9,2.2661
16,116.9,184.91,7931,2.1689
17,174.73,93.51,11070,1.27
17,110.73,83.126,16430,1.3117
17,107.58,97.312,11173,1.2094
17,126.45,107.56,12847,1.2808
17,130.82,114.86,13313,1.4158
17,118.85,137.89,12383,1.1518
17,130.44,149.09,34533,1.113
17,185.19,48.364,9635.7,0.70467
17,185.17,54.833,12759,1.0818
17,142.45,58.507,12507,0.98291
17,164,64.409,7737.6,1.0075
17,132.58,66.954,9880.3,0.9271
17,183.41,82.706,8787,0.83667
17,201.97,89.017,14234,1.0712
17,151.03,111.86,10738,0.93741
17,133.7,125.9,17280,0.94167
17,108.6,132.35,9025.1,1.0625
17,142.06,155.66,16729,0.78067
17,225.77,156.94,21217,0.88934
17,157.39,176.4,11788,0.79101
17,84.225,200.57,26224,0.86075
17,127.84,149,12311,0.89451
17,166.21,42.828,9051.4,2.3608
17,151.52,104.65,9295.7,1.8974
17,185.48,111.15,9597.5,1.6539
17,38.488,113.38,10624,2.2982
17,85.312,155.66,9025,0.86924
17,122.43,159.7,7547.2,1.248
17,173.11,44.689,9129.1,2.2701
17,98.245,106.85,11070,2.3561
17,117.63,127.25,8429.8,0.92745
17,145.73,127.87,5513.3,0.31402
17,171.81,149.37,7616.6,0.48923
17,115.33,140.86,8112.8,1.0172
17,198.78,98.793,7413.4,1.3218
17,113.57,113.4,13257,2.8094
18,186.97,97.645,10445,1.2819
18,199.44,98.433,15729,1.6862
18,98.342,106.96,9910.5,0.96339
18,169.53,145.18,12321,1.2188
18,185.13,48.258,7574.1,0.9171
18,111.06,82.985,14633,0.92511
18,183.28,82.794,10019,0.97825
18,201.7,89.176,11086,0.91206
18,156.08,104.67,10089,0.53281
