Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
55,58.061,51.113,13697,1.1
56,60.071,57.402,8241.1,1.1
56,44.691,75.249,7999.5,1.1
56,48.207,83.326,8595.7,1.1
56,105.03,95.795,9786.3,1.1
56,113.25,106.81,8892,1.1
56,122.78,111.03,7743.3,1.1
56,101.49,116.22,8904.5,1.1
56,92.001,150.91,7416.8,1.1
56,135.03,25.143,6751.5,1.1
57,57.875,50.984,10870,1.1
57,38.206,66.278,8253,1.1
57,47.224,67.104,6105.5,1.1
57,68.438,94.7,8709.8,1.1
57,104.89,95.902,9407.5,1.1
57,122.87,96.062,9035.4,1.1
57,41.094,116.06,5074,1.1
57,122.82,147.92,8253.5,1.1
57,88.685,168.41,9676.7,1.1
57,78.052,7.1883,7054.6,1.1
58,46.987,68.009,6760.5,1.1
58,99.791,89.704,7953.3,1.1
58,102.1,116.49,7946.2,1.1
58,126.25,134.03,8170.1,1.1
58,47.114,147.14,9885.8,1.1
58,59.872,57.772,8365.8,1.1
59,104.94,96.002,9633.5,1.1
59,122.29,96.082,11775,1.1
59,51.177,96.845,7314.6,1.1
59,101.45,117.16,10013,1.1
59,112.3,148.21,11442,1.1
59,122.23,173.16,7481,1.1
59,88.047,54.679,9006.7,1.1
60,114.15,56.659,6083.8,1.1
60,37.972,66.857,6082.9,1.1
60,122.25,95.925,10190,1.1
60,102.01,116.95,9570.1,1.1
60,119.83,116.56,8921.9,1.1
60,79.729,143.06,8765.5,1.1
60,115.11,148.13,9506.7,1.1
60,109.46,153.72,8678.7,1.1
60,88.048,168.41,6958.4,1.1
60,99.805,89.915,7399.3,1.1
61,101.31,95.282,10283,1.1
61,69.957,99.892,5900.9,1.1
61,102.06,116.43,13547,1.1
61,85.85,121.75,6321.4,1.1
61,115.61,148.1,10283,1.1
61,122.9,147.98,6273.6,1.1
61,101.39,119.84,8867.5,1.1
61,66.326,25.22,6885.2,1.1
62,78.975,45.694,8118.7,1.1
62,57.316,51.25,11429,1.1
62,47.027,68.106,6174.8,1.1
62,67.852,89.458,8872.9,1.1
62,94.53,90.143,9441.8,1.1
62,112.17,147.74,10291,1.1
62,116.05,148.37,8477.1,1.1
62,110.81,29.423,6420.2,1.1
63,82.795,69.997,8667.2,1.1
63,45.583,74.394,9655.1,1.1
63,128.54,78.479,7390.1,1.1
63,67.388,89.878,10531,1.1
63,101.86,116.59,11468,1.1
63,131.06,125.55,9009.6,1.1
63,125.92,134.19,7878.7,1.1
63,123.62,148.35,9100.1,1.1
63,49.139,148.81,7695.3,1.1
63,118.43,45.884,7843.8,1.1
64,113.17,68.435,9456.7,1.1
64,117.82,80.073,7242.2,1.1
64,36.779,81.432,6628.4,1.1
64,48.151,83.04,6800.9,1.1
64,124.53,95.913,10985,1.1
64,118.17,112.3,11513,1.1
64,102.24,115.76,11368,1.1
64,49.867,118.88,7377.3,1.1
64,123.29,148.12,7456.2,1.1
64,138.65,44.627,6712.4,1.1
65,57.315,51.012,8576.2,1.1
65,126.09,87.314,10619,1.1
65,101.44,95.443,10928,1.1
65,122.21,96.16,9094.7,1.1
65,63.502,150.47,9029.1,1.1
65,105.27,95.03,8209.1,1.1
65,113.98,68.981,10980,1.1
66,127.31,111.95,10318,1.1
66,124.94,118.94,7727.1,1.1
66,123.09,149.08,11888,1.1
66,57.578,51.855,8706,1.1
67,59.925,57.892,7376.1,1.1
67,121.82,95.341,12598,1.1
67,63.005,97.912,8309.4,1.1
67,23.389,123.94,5818,1.1
67,58.808,136.26,6184.3,1.1
67,124.91,96.596,9430.2,1.1
67,56.534,29.954,9206.1,1.1
68,57.047,51.745,7469.6,1.1
68,85.578,54.12,8689.6,1.1
68,68.104,89.44,12490,1.1
68,80.365,97.664,9311.8,1.1
68,55.018,132.15,7335.1,1.1
68,112.93,137.69,6210.5,1.1
68,43.067,139.75,5992.1,1.1
68,120.19,140.73,10257,1.1
68,93.791,151.59,9093.7,1.1
68,110.98,152.27,9181.4,1.1
68,58.646,155.4,7487.5,1.1
68,119.43,41.331,9735.6,1.1
69,93.683,70.71,8610.8,1.1
69,80.827,98.05,8630.2,1.1
69,120.63,140.59,10834,1.1
69,116.07,148.15,12561,1.1
69,94.322,151.74,7062,1.1
69,63.726,6.1077,6992.3,1.1
70,89.943,26.332,7969.5,1.1
70,78.15,47.463,7645.5,1.1
70,46.848,67.334,8004.5,1.1
70,128.07,78.062,6761,1.1
70,74.989,84.121,8576.7,1.1
70,59.868,84.867,10539,1.1
70,95.771,90.831,9726.1,1.1
70,101.76,116.18,14573,1.1
70,101.84,120.66,9794.5,1.1
70,93.853,151.7,14370,1.1
70,111.25,151.93,9657.2,1.1
70,135.1,26.433,7335,1.1
71,57.043,51.257,9463.2,1.1
71,44.866,74.083,7819,1.1
71,36.666,81.461,9425,1.1
71,104.98,96.152,11612,1.1
71,101.66,117.05,10553,1.1
71,119.13,135.07,7588.9,1.1
71,93.693,151.95,10530,1.1
71,56.818,30.354,7672.4,1.1
72,85.355,53.452,10875,1.1
72,122.67,76.257,8391.9,1.1
72,36.756,81.709,7651.5,1.1
72,104.97,95.871,12386,1.1
72,102.15,116.36,10703,1.1
72,49.492,119.39,9181.2,1.1
72,131.44,119.03,10935,1.1
72,59.042,155.31,9428.7,1.1
72,59.78,57.632,9565.1,1.1
73,104.84,95.979,13151,1.1
73,101.47,116.37,12481,1.1
73,131.62,118.65,8238,1.1
73,92.903,151.37,7533.8,1.1
73,128.59,35.291,6526.6,1.1
74,64.807,38.152,6969.6,1.1
74,45.123,74.197,8315.7,1.1
74,48.872,82.975,7926.2,1.1
74,114.4,109,10316,1.1
74,131.48,119.41,14261,1.1
74,136.59,134.26,8005.3,1.1
74,93.852,151.86,6157.9,1.1
74,91.068,75.427,9871.3,1.1
75,101.32,95.819,9163.7,1.1
75,104.81,95.812,12614,1.1
75,130.85,119.35,7779.5,1.1
75,48.27,131.83,9088.8,1.1
75,85.049,53.164,10337,1.1
76,72.843,88.745,10061,1.1
76,51.249,97.872,7632.8,1.1
76,101.71,116.01,10060,1.1
76,102.04,119.73,9760.2,1.1
76,131.43,119.62,11598,1.1
76,33.802,142.83,5607.9,1.1
76,62.347,147.11,8890,1.1
76,123.11,149.08,11284,1.1
76,127.46,79.144,7525,1.1
77,127.03,111.94,8166.8,1.1
77,131.75,118.98,10608,1.1
77,102.29,119.9,10264,1.1
77,123.04,148.96,12136,1.1
77,100.94,116.23,9143.3,1.1
77,87.009,40.527,8466.1,1.1
78,107.46,42.631,8791.8,1.1
78,111.88,45.066,8213.8,1.1
78,145.86,58.902,5782.8,1.1
78,128.11,77.903,7191.7,1.1
78,104.19,95.874,10254,1.1
78,96.378,116.07,9402.2,1.1
78,131.37,118.13,13022,1.1
78,56.335,133.02,7790.4,1.1
78,87.129,143.94,6859.7,1.1
78,64.268,38.438,7259.3,1.1
79,78.078,45.665,7031.2,1.1
79,57.004,51.545,11730,1.1
79,84.554,54.949,11213,1.1
79,48.245,82.901,7370.5,1.1
79,75.504,87.373,14568,1.1
79,104.51,95.181,10977,1.1
79,60.25,95.811,11339,1.1
79,124.05,118.2,10451,1.1
79,123.34,148.49,12456,1.1
79,91.22,76.243,8461,1.1
80,104.98,94.626,13076,1.1
80,95.948,104.89,7454.8,1.1
80,47.741,133.55,8403.6,1.1
80,120.81,137.76,8022.3,1.1
80,73.298,147.8,9262.7,1.1
80,123.19,148.82,10329,1.1
80,74.013,156.74,7419.4,1.1
80,106.04,177.03,7519.5,1.1
80,98.83,40.596,9132,1.1
81,57.413,50.956,9867.1,1.1
81,37.854,66.559,7767.6,1.1
81,51.648,68.101,7582.5,1.1
81,117.44,79.916,9853.1,1.1
81,37.095,82.109,7767.8,1.1
81,26.023,87.779,5533.7,1.1
81,131.67,118.1,13830,1.1
81,101.8,120.54,9926.8,1.1
81,47.305,67.311,8305.6,1.1
81,127.32,37.089,17640,1.1
82,57.313,51.153,17979,1.1
82,118.37,111.85,12468,1.1
82,110.96,152.54,9609.4,1.1
82,57.437,51.24,12772,1.1
83,85.801,53.928,8467,1.1
83,44.866,74.86,8434.9,1.1
83,101.13,93.222,10530,1.1
83,105.23,95.153,10727,1.1
83,132.25,118.38,10679,1.1
83,102.82,120.83,10820,1.1
83,58.645,123.91,6312.8,1.1
83,64.72,155.91,8731.2,1.1
83,99.534,40.334,8544.1,1.1
84,57.234,51.628,16642,1.1
84,84.956,54.211,8083.4,1.1
84,90.854,66.67,9646.9,1.1
84,48.329,82.964,8754.5,1.1
84,25.046,87.124,5633.3,1.1
84,118.69,112.6,12042,1.1
84,138.27,45.467,9353,1.1
85,84.906,54.14,8773.8,1.1
85,37.606,66.235,7655.5,1.1
85,71.044,89.352,8799.7,1.1
85,103.82,94.954,14118,1.1
85,125.55,96.211,10481,1.1
85,114.05,109.91,9736.4,1.1
85,118.94,112.58,13597,1.1
85,119.8,129.59,8757.7,1.1
85,139.68,42.239,6900.1,1.1
85,67.846,93.98,7559.9,1.1
85,63.929,30.868,6581.7,1.1
86,64.399,38.865,9909.7,1.1
86,55.88,39.567,9509.4,1.1
86,139.75,42.168,8464.5,1.1
86,138.35,45.818,14700,1.1
86,44.22,75.776,7133.1,1.1
86,91.834,75.934,8726.3,1.1
86,25.212,87.432,8040.3,1.1
86,104.99,94.973,12779,1.1
86,125.17,96.891,9319.6,1.1
86,104.04,109.21,9559.3,1.1
86,132.08,118.12,9430.3,1.1
86,64.933,39.281,7229.8,1.1
87,57.13,51.672,8287.5,1.1
87,124.11,118.82,8426.2,1.1
87,72.277,147.8,13839,1.1
87,146.53,151.49,8561.3,1.1
87,23.133,12.182,4917.8,1.1
88,106.76,33.191,6387.2,1.1
88,140.38,42.699,7555.1,1.1
88,44.515,74.836,9068.8,1.1
88,31.255,76.534,6938.7,1.1
88,87.132,80.039,6237.1,1.1
88,58.567,85.124,9062.8,1.1
88,105.5,94.726,13120,1.1
88,112.01,109.33,10221,1.1
88,119.23,112.45,9097.1,1.1
